session_id,timestamp,input,level,message,spoken_text,buzzer,driver_state,trigger,suggested_route
unknown,4/1/2026 11:20,Driver is looking at the road.,INFO,Driver attentive,Driver attentive,False,Driver attentive,,N/A
unknown,4/1/2026 11:20,Driver just yawned.,WARNING,Driver yawned.,Driver yawned.,True,Driver yawned.,,N/A
unknown,4/1/2026 11:20,Driver's eyes have been closed for 3 seconds!,DANGER,Driver's eyes closed for 3 seconds!,Driver's eyes closed for 3 seconds!,True,Driver's eyes closed for 3 seconds!,,N/A
unknown,4/1/2026 11:20,Driver is holding a smartphone.,DANGER,Driver holding smartphone.,Driver holding smartphone.,True,Driver holding smartphone.,,N/A
unknown,4/1/2026 11:21,"Eye openness: 90%, Gaze: Forward, Phone: NO",INFO,Driver is attentive and focused,Driver is attentive and focused,False,Driver is attentive and focused,,N/A
unknown,4/1/2026 11:21,"Eye openness: 10%, Yawning: YES, Duration: 3s",DANGER,"Driver severely drowsy, needs to rest","Driver severely drowsy, needs to rest",True,"Driver severely drowsy, needs to rest",,N/A
unknown,4/1/2026 11:22,"Eye openness: 85%, Gaze: Downward, Phone: YES",DANGER,Distracted driving detected,Distracted driving detected,True,Distracted driving detected,,N/A
unknown,4/1/2026 11:22,"Heart rate: 110bpm, Shouting detected, Gaze: Erratic",DANGER,"Driver distressed, erratic gaze detected.","Driver distressed, erratic gaze detected.",True,"Driver distressed, erratic gaze detected.",,N/A
unknown,2026-04-10 10:40:51,"Eye openness: 95%, Emotion: Neutral, Gaze: Forward",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:40:51,"Eye openness: 5%, Yawning: YES, Duration: 3s",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:40:51,"Eye openness: 85%, Emotion: High Anger, Gaze: Road",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:40:51,"Eye openness: 90%, Emotion: Happy, Gaze: Road",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:46:53,"Eye openness: 95%, Emotion: Neutral, Gaze: Forward",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:46:54,"Eye openness: 5%, Yawning: YES, Duration: 3s",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:46:54,"Eye openness: 85%, Emotion: High Anger, Gaze: Road",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
unknown,2026-04-10 10:46:54,"Eye openness: 90%, Emotion: Happy, Gaze: Road",ERROR,AI System Offline,AI System Offline,False,AI System Offline,,N/A
